City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
116,namatanai,-3.6667,152.4333,85.3,62,91,4.45,PG,1675298688
117,puri,19.8,85.85,63.12,60,5,9.24,IN,1675299255
118,uray,60.1247,64.7758,12.69,97,61,5.37,RU,1675298813
119,hami,42.8,93.45,20.37,67,100,5.53,CN,1675299094
120,touros,-5.1989,-35.4608,80.19,75,100,11.54,BR,1675299203
121,akranes,64.3218,-22.0749,34.36,68,100,13.94,IS,1675299258
122,gat,31.61,34.7642,54.28,100,100,16.24,IL,1675299259
123,pirogovo,56.7796,53.1495,0.07,95,100,4.23,RU,1675299260
124,cherskiy,68.75,161.3,-5.69,98,100,3.78,RU,1675299261
125,kargasok,59.0556,80.8572,1.76,94,61,7.05,RU,1675298697
126,guarapari,-20.6667,-40.4975,77.9,88,99,12.88,BR,1675299262
127,kattivakkam,13.2167,80.3167,78.89,81,100,11.65,IN,1675299263
128,pucallpa,-8.3791,-74.5539,80.64,83,75,3.44,PE,1675299264
129,nikolskoye,59.7035,30.7861,30.09,96,100,6.38,RU,1675299265
130,bowen,-20.0167,148.2333,87.84,64,100,8.19,AU,1675299266
131,svetlogorsk,52.6333,29.7333,32.7,98,100,10.71,BY,1675299266
132,tuktoyaktuk,69.4541,-133.0374,-34.6,67,75,3.44,CA,1675299269
133,constantine,36.365,6.6147,40.41,93,40,2.3,DZ,1675299269
134,gamba,-2.65,10.0,76.33,90,85,3.98,GA,1675298802
135,parabel,58.6978,81.4825,-0.76,96,64,6.08,RU,1675299272
136,rehoboth,-23.3167,17.0833,70.9,31,82,7.36,NA,1675299272
137,beringovskiy,63.05,179.3167,21.83,96,100,8.3,RU,1675299273
138,gazanjyk,39.2446,55.5154,39.81,88,7,4.09,TM,1675299275
139,chaozhou,23.6651,116.6379,60.66,75,58,4.09,CN,1675299276
140,maceio,-9.6658,-35.7353,74.64,94,20,4.61,BR,1675299276
141,goderich,43.7501,-81.7165,28.9,63,100,17.27,CA,1675299277
142,pevek,69.7008,170.3133,-7.31,96,27,2.1,RU,1675299277
143,porto novo,6.4965,2.6036,82.22,88,0,6.4,BJ,1675299018
144,flinders,-34.5833,150.8552,86.05,60,4,7.0,AU,1675298826
145,ilulissat,69.2167,-51.1,14.02,67,75,27.63,GL,1675299278
146,llangefni,53.2556,-4.3106,48.65,87,75,17.27,GB,1675299278
147,comodoro rivadavia,-45.8667,-67.5,66.06,45,0,4.61,AR,1675298912
148,ambulu,-8.345,113.6058,77.32,90,100,2.82,ID,1675299279
149,kaitangata,-46.2817,169.8464,76.42,59,60,7.11,NZ,1675298580
150,alofi,-19.0595,-169.9187,78.69,89,100,13.8,NU,1675299138
151,warrnambool,-38.3833,142.4833,60.93,62,100,27.94,AU,1675299280
152,pedana,16.2667,81.1667,71.78,85,99,8.9,IN,1675299280
153,kuito,-12.3833,16.9333,59.22,94,97,4.27,AO,1675299280
154,severo-kurilsk,50.6789,156.125,23.25,61,52,3.76,RU,1675298745
155,vallenar,-28.5708,-70.7581,73.18,49,0,2.82,CL,1675299281
156,lasa,46.6166,10.7002,40.08,94,63,7.38,IT,1675298803
157,coquimbo,-29.9533,-71.3436,64.13,82,0,8.05,CL,1675299079
158,ndende,-2.4008,11.3581,72.88,97,63,1.28,GA,1675299282
159,carnarvon,-24.8667,113.6333,83.14,65,51,11.05,AU,1675299282
160,hofn,64.2539,-15.2082,27.81,75,93,10.98,IS,1675299283
161,desbiens,48.4178,-71.9495,12.85,88,97,9.73,CA,1675299283
162,lao cai,22.4833,103.95,62.89,75,51,0.38,VN,1675299284
163,conceicao do araguaia,-8.2578,-49.2647,72.73,95,98,3.83,BR,1675299134
164,arraial do cabo,-22.9661,-42.0278,80.46,74,20,11.5,BR,1675298695
165,atar,20.5169,-13.0499,68.81,11,100,4.7,MR,1675298875
166,mount isa,-20.7333,139.5,73.17,88,100,5.75,AU,1675298765
167,tchaourou,8.8865,2.5975,77.2,50,8,4.47,BJ,1675299285
168,amboasary,-25.0333,46.3833,70.27,91,50,6.67,MG,1675299285
169,peniche,39.3558,-9.3811,44.46,90,0,7.07,PT,1675299286
170,brae,60.3964,-1.353,40.12,67,100,8.77,GB,1675299100
171,xinpu,34.5997,119.1594,34.74,45,100,11.63,CN,1675299286
172,dolores,-36.3132,-57.6792,66.31,87,100,6.38,AR,1675299020
173,bougouni,11.417,-7.479,75.54,14,13,5.1,ML,1675299287
